"emdcardnumber","count","avg_response_time_sec","avg_dist_to_seg","avg_response_to_dist_ratio"
"29A2V","530","384.18490566037735","3.523172691011396","109.04515314862115"
"29B1","7476","385.58681112894595","3.1614990289033083","121.96328627774467"
"29D8V","19","316.8421052631579","3.137267320658179","100.99302127581733"
"29D7","160","384.5875","3.502680991734246","109.798037819477"
"29D6Y","3","417.0","2.3134605880909636","180.2494506051226"
"29D5X","3","401.3333333333333","8.928295274449708","44.95072362602494"
"<Element 'incident_type_id' at 0x7f10f629c548>","1","221.0","23.802030611423323","9.284922097946355"
"29O1U","1","17.0","1.3697485417267985","12.411037122601087"
"29D8U","2","483.0","0.710973555605364","679.3501617493296"
"29D1D","13","392.61538461538464","3.8711591169304356","101.42062693788257"
"29D2L","469","381.727078891258","3.6399152441404428","104.87251853068955"
"29O1","63","108.7936507936508","2.382137643593808","45.67059803879319"
"29D4V","2","230.0","1.4586329770403432","157.68188682164876"
"29A1V","1","156.0","11.573518055176978","13.479047533884415"
"29D1H","56","325.125","13.127349985743722","24.766994127000892"
"29D5V","169","460.33727810650885","3.1547638133310736","145.91814327312343"
"29D6U","25","515.4","3.779929741271957","136.35174071425106"
"29D2","19","404.89473684210526","2.6580157171211796","152.32970002172715"
"29D3U","78","460.9230769230769","4.097681999203102","112.48385721798691"
"29A2X","3","321.6666666666667","5.924843971329196","54.291162471659675"
"29D3V","45","440.6","3.074343712133052","143.31514015858085"
"29D7V","11","662.8181818181819","4.558864290073672","145.39107541792401"
"29B2Y","6","457.6666666666667","0.9676738607290486","472.9554917623373"
"29D2T","8","448.75","1.068681535490984","419.9099405173412"
"29D1F","4","699.25","7.87716802339159","88.76921222494518"
"29D2K","1","564.0","12.776684631855687","44.14290688476394"
"29D7Y","1","498.0","1.097216878954357","453.8756280112933"
"29D2P","1421","452.96692470091483","3.8825778410146508","116.66654044018833"
"29A2","1937","382.8451213216314","3.3377674738187095","114.70095635021026"
"29A1","300","377.81333333333333","3.333745297148055","113.32999364304892"
"29B1V","890","402.8","3.3581716348128676","119.94622187392928"
"29D8","41","405.1219512195122","3.681992832071014","110.02790328400582"
"29B1Y","61","389.27868852459017","3.3041836565601748","117.81387749186112"
"29D3","215","443.6046511627907","3.53825842802923","125.3737283994469"
"29B3","147","392.421768707483","3.959533833703557","99.1080731189082"
"29A2U","110","375.58181818181816","2.709806650170108","138.60096555532516"
"29B1X","7","435.0","5.455706597193278","79.7330267400722"
"29D9V","35","430.0571428571429","3.8679881789532007","111.18367558546414"
"29D2Q","38","437.7105263157895","3.5448890527798316","123.47650936283763"
"29B5X","6","278.8333333333333","2.2022559720255597","126.61259039605281"
"29D6V","17","430.94117647058823","1.4682292236474828","293.5108289154009"
"29D2R","3","368.6666666666667","1.341963853274185","274.72175630303065"
"29D2M","868","335.2741935483871","4.752741127079406","70.5433316445778"
"29D5","452","459.1305309734513","3.7366575388136694","122.87198551227632"
"29D1B","39","253.10256410256412","2.7263912728782","92.83427753763623"
"29B3U","36","326.97222222222223","4.308196027249836","75.89539105325878"
"29B3V","39","393.97435897435895","4.338098921416687","90.81728335639227"
"29B2U","6","301.5","4.143589661957763","72.76299648299327"
"29B4U","2","444.5","1.2158404006421433","365.59074675034515"
"29D2S","6","706.6666666666666","3.3099958218075387","213.49473072167405"
"<Element 'incident_type_id' at 0x7f07a57e2908>","1","449.0","1.4127779547713142","317.8135661613431"
"29B5","2678","426.7176997759522","3.7595676700519376","113.50180053284085"
"29B1U","306","392.73202614379085","3.4164657075244156","114.95272008111739"
"29D5Y","32","494.59375","3.333776397871856","148.35840529548653"
"29B4","12","409.3333333333333","2.9932174508646443","136.75362383547846"
"29D6","54","407.35185185185185","3.9242434974406213","103.80391841574698"
"29B3X","3","452.0","2.492122917391463","181.37147122466743"
"29D1","6","335.0","3.779133348140799","88.64466245013773"
"29D3X","4","328.0","1.0785393054503132","304.1150177304414"
"29B2V","52","444.61538461538464","2.3562595543956193","188.69541930809422"
"29D5U","111","454.990990990991","2.7354898286471854","166.3288915301883"
"29B5U","667","420.2608695652174","3.6008681331512005","116.71098580259246"
"29B5V","179","401.6368715083799","3.153663592920708","127.35564833546854"
"29D2N","88","403.40909090909093","4.241955892995133","95.09978441200963"
"29D7U","13","391.84615384615387","2.8879838146249948","135.68156160079974"
"29B3Y","6","568.0","3.059336271348967","185.66118583281767"
"29B2X","1","263.0","0.3158545863317929","832.6616467861852"
"29D9","90","390.03333333333336","4.883863852259144","79.86163110442041"
"29B5Y","8","489.75","3.194528804816955","153.30899482312304"
"<Element 'incident_type_id' at 0x7f07a55f29f8>","1","290.0","19.46294787588196","14.90010669757593"
"<Element 'incident_type_id' at 0x7f07a57e29a8>","1","226.0","0.5456610907396059","414.1764986278802"
"29B4V","1","200.0","0.3718061877102776","537.914662560285"
"29B2","107","418.196261682243","3.631168515620294","115.16850839702896"
"29D4","16","454.5","5.209086801210267","87.2513777068185"
"29D3Y","6","486.0","4.292936376511636","113.20922496291803"
"29A2Y","21","358.23809523809524","3.49476005128545","102.50720792871813"
"29D4U","5","460.6","7.9613078132785144","57.854816168742275"
"29D9Y","3","807.6666666666666","4.400833792109867","183.5258282452543"
"29D8Y","1","457.0","1.8736019477791932","243.91520330222144"
